"MW_API","melting.point_API","XLogP3_API","Hydrogen.Bond.Donor.Count_API","Hydrogen.Bond.Acceptor.Count_API","Rotatable.Bond.Count_API","Topological.Polar.Surface.Area_API","Heavy.Atom.Count_API","Complexity_API","logS_API","logP_API","Pka","N.of.repeat.units_polymer","Monomer.Weight_polymer","Hydrogen.Bond.Donor.Count_polymer","Hydrogen.Bond.Acceptor.Count_polymer","Rotatable.Bond.Count_polymer","Complexity_polymer","Topological.Polar.Surface.Area_polymer","technich","Drug.loading.ratio","Dose.mg.","dissolution.method","surfactant","pH.1.2_simulated.gastric.fluid","pH.4.5_buffer.solution","pH.6.8_PBS","pH.6.5_FaSSIF","pH.6.8_SIF","water","pH.7.4_PBS","rotation.speed.rpm.","volume.ml","X5min","X10min","X15min","X20min","X30min","X45min","X60min"
0.0605261541707938,0.533333333333333,0.396039603960396,0.105263157894737,0.16,0.0454545454545455,0.160533841754051,0.0340909090909091,0.0323958704165183,0.68,0.188264058679707,0.565949485500468,0.0499110715873722,0.109870329906509,0,0,0.037037037037037,0.309782608695652,0,0.5,0.489795918367347,0.0880989772857854,0,0,1,0,0,0,0,0,0,0,0.888888888888889,0.201,0.2862,0.3776,0.4629,0.6429,0.7174,0.7705
0.0830867543380319,0.23,0.554455445544554,0,0.04,0.0454545454545455,0.049952335557674,0.0795454545454545,0.0897116411534354,0.34,0.250203748981255,0.453695042095416,0.0106714095153402,0,0.333333333333333,0.125,0.037037037037037,0,0.132285527177472,0,0.0306122448979592,0.0306431225341862,0,0,0,0,0,0,0,1,0,0,1,0.3157,0.4321,0.5097,0.5429,0.6232,0.7008,0.7285
0.136649381203515,0.546666666666667,0.475247524752475,0,0.2,0.136363636363636,0.123164918970448,0.125,0.150943396226415,0.46,0.256723716381418,0.09822263797942,0.0106714095153402,0,0.333333333333333,0.125,0.037037037037037,0,0.132285527177472,0.5,0.489795918367347,0.0229823419006397,0,0,0,0,0,0,0,0,1,0.5,0.888888888888889,0.3033,0.3711,0.449,0.4962,0.5797,0.6491,0.7107
0.139539040318225,0.423333333333333,0.633663366336634,0.0526315789473684,0.16,0.318181818181818,0.16606291706387,0.136363636363636,0.112139551441794,0.24,0.294213528932355,0.610851262862488,0.0499110715873722,0.109870329906509,0,0,0.037037037037037,0.309782608695652,0,0.5,0.122448979591837,0.107250928869652,0,0,0,0,0,0,0,1,0,0,0.888888888888889,0.4042,0.3941,0.388,0.3799,0.3683,0.3636,0.3562
0.197752679824195,0.45,0.485148514851485,0.105263157894737,0.32,0.227272727272727,0.208770257387989,0.181818181818182,0.213243147027412,0.28,0.255908720456398,0.858278765201123,0.012894619831036,0.0896899738510585,0,0.125,0,0.0834239130434783,0.031434184675835,0.5,0.489795918367347,0.183858735205117,0,1,0,0,0,0,0,1,0,0,0.888888888888889,0.2448,0.317,0.3943,0.4304,0.5103,0.5386,0.5335
1,0.446666666666667,0,1,1,0.590909090909091,1,1,1,0.46,0.126324368378158,0.439195509822264,0.0106714095153402,0,0.333333333333333,0.125,0.037037037037037,0,0.132285527177472,0,0.183673469387755,0.949936798559773,1,0,0,0,1,0,0,0,0,0.5,0.888888888888889,0.0445,0.3465,0.619,0.84,0.9623,1,1
0.0496446585399269,0.283333333333333,0.475247524752475,0,0.08,0,0.0703527168732126,0.0568181818181818,0.104663581345675,0.5,0.265688671556642,0.0701590271281572,0.019341929746554,0.501954454275173,1,1,0.148148148148148,0.383152173913043,1,1,0.183673469387755,0.375378251043781,0,0,0,0,0,1,0,0,0,0.25,0.222222222222222,0.041,0.0747,0.0932,0.1136,0.1548,0.2143,0.2783
0.177419558031756,0.395,0.683168316831683,0.0526315789473684,0.16,0.318181818181818,0.126406101048618,0.181818181818182,0.183339266642933,0.38,0.370823145884271,0.930308699719364,0.019341929746554,0.501954454275173,1,1,0.148148148148148,0.383152173913043,1,0.5,0.23469387755102,0.22216263837285,0,1,0,0,1,0,0,0,0,0,0.888888888888889,0.4753,0.9296,0.938,0.9593,0.975,0.9889,0.988
0.279691444246901,0.626666666666667,0.673267326732673,0.105263157894737,0.4,0.272727272727273,0.130981887511916,0.272727272727273,0.234603061587754,0.34,0.234718826405868,0.750701590271281,0.0316807469986661,0.800244922448687,0.333333333333333,0.75,0.592592592592593,0.2536875,0.618598559266536,0,0.183673469387755,0.231738614164783,0,1,0,0,0,1,0,0,0,0,0.388888888888889,0.052,0.4653,0.5445,0.5919,0.6774,0.7039,0.6856
0.144286899844573,0.546666666666667,0.415841584158416,0.157894736842105,0.16,0.0909090909090909,0.16835081029552,0.147727272727273,0.189747241011036,0.56,0.181744091279544,0.816183348924228,0.00889284126278346,0.109870329906509,0,0,0.037037037037037,0.309782608695652,0,1,0.23469387755102,0.00383039031677328,0,0,0,0,0,0,0,1,0,0.5,0.0555555555555556,0.9746,0.9888,0.9968,0.9923,0.9958,1,1
