"Molecular.Weight_g.mol_","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","LogS","Ratio.","Name","Ratio..1","Name.1","Ratio..2","Name.2","Ratio..3","Name.3","Ratio..4","Ratio..5","Ratio..6","Ratio..7","Ratio..8"
445.538,1.9,3,6,7,139,31,697,-4.4,6.57,6,59.11,0,0,1,32.84,0,0,6.04,11.7,17.3,24
390.864,3.4,2,6,7,90.7,27,368,-3.7,1,5,99,0,0,0,0,0,0,15.1,24.9,32.2,40
491.069,3.8,1,6,13,64,34,606,-5.1,30,6,10,0,0,1,19,2,40,31.9,46.9,61.1,78.6
267.369,1.9,2,4,9,50.7,19,215,-2.8,20,5,40,0,0,1,37,0,0,27.9,42.5,54.2,63.6
180.167,0,1,3,0,69.3,13,267,-0.9,50,6,15,0,0,1,33,0,0,21.6,31.4,42,49.6
352.316,3.4,1,2,1,12.5,21,370,-4.5,20,3,40,0,0,1,19.5,2,19.5,36.4,58,76.3,88.6
206.285,3.5,1,2,4,37.3,15,203,-3.99,20,4,24,8,24,2,32,0,0,22.3,34.5,45,52.5
267.369,1.9,2,4,9,50.7,19,215,-2.8,20,5,10,0,0,1,67,0,0,33.1,50.1,68.2,86.8
236.274,2.5,1,1,0,46.3,18,326,-3.2,30,6,30,0,0,1,20,2,19,1.22,6.89,9.89,10.7
450.978,3.1,1,6,7,84.4,30,565,-4.4,36.5,2,63.5,0,0,0,0,0,0,25.8,41.6,54.1,64.2
390.864,3.4,2,6,7,90.7,27,368,-3.7,30,4,20,0,0,1,49.25,0,0,37.5,59.7,76.1,87.2
295.807,3,3,3,6,41.5,20,257,-3.5,50,4,50,0,0,0,0,0,0,52.5,70.1,87.7,97.7
318.129,4.4,1,3,4,52.2,20,310,-4.8,20,3,78,0,0,2,0,0,0,27.5,44.8,60.3,73.3
194.194,-0.1,0,3,0,58.4,14,293,-0.97,10,4,12.5,0,0,1,51.3,2,25.7,88.1,99,100,100
491.069,3.8,1,6,13,64,34,606,-5.1,30,3,40,0,0,1,19,2,10,18.5,45.1,51.3,57.1
