"Molecular.Weight_g.mol_","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","LogS","Ratio.","Name","Ratio..1","Name.1","Ratio..2","Name.2","Ratio..3","Name.3","Ratio..4","Ratio..5","Ratio..6","Ratio..7","Ratio..8"
491.069,3.8,1,6,13,64,34,606,-5.1,30,3,10,0,0,1,19,2,40,46.8,76,85.1,89
491.069,3.8,1,6,13,64,34,606,-5.1,30,3,20,0,0,1,19,2,30,22.1,52.9,80.8,95.8
491.069,3.8,1,6,13,64,34,606,-5.1,30,3,30,0,0,1,19,2,20,18.5,45.5,72.1,89.3
491.069,3.8,1,6,13,64,34,606,-5.1,30,3,35,0,0,1,19,2,15,12.3,35.7,57.8,72.4
491.069,3.8,1,6,13,64,34,606,-5.1,33.3,5,33.3,0,0,1,33.3,0,0,8.53,13.1,16.9,23.4
491.069,3.8,1,6,13,64,34,606,-5.1,30,6,20,0,0,1,19,2,30,14.1,31.7,36.9,40.2
491.069,3.8,1,6,13,64,34,606,-5.1,30,6,30,0,0,1,19,2,20,14.1,24.3,27.1,37.2
491.069,3.8,1,6,13,64,34,606,-5.1,30,6,35,0,0,1,19,2,15,12.6,21.8,27.1,35.8
491.069,3.8,1,6,13,64,34,606,-5.1,30,6,40,0,0,1,19,2,10,10.7,13.5,16.2,22.5
318.129,4.4,1,3,4,52.2,20,310,-4.8,20,3,7.8,0,0,2,70.2,0,0,42.4,66.5,86.3,94.9
318.129,4.4,1,3,4,52.2,20,310,-4.8,20,3,31.2,0,0,2,46.8,0,0,34.7,58,77,89.8
318.129,4.4,1,3,4,52.2,20,310,-4.8,20,3,54.6,0,0,2,23.4,0,0,31.3,50.1,64.8,78.2
318.129,4.4,1,3,4,52.2,20,310,-4.8,10,5,90,0,0,0,0,0,0,27.6,52.3,64.7,75.1
318.129,4.4,1,3,4,52.2,20,310,-4.8,10,6,90,0,0,0,0,0,0,24.5,38.3,49.8,60.1
384.253,3.9,1,5,6,64.6,25,614,-4.7,2.5,3,37,0,0,1,59.5,0,0,22.1,47.7,70.6,87.5
352.316,3.4,1,2,1,12.5,21,370,-4.5,20,3,20,0,0,1,29.5,2,29.5,67.4,94.8,97.6,96.7
352.316,3.4,1,2,1,12.5,21,370,-4.5,20,3,60,0,0,1,9.5,2,9.5,31,47.6,60.5,72.1
