"Molecular.Weight_g.mol_","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","LogS","Ratio.","Name","Ratio..1","Name.1","Ratio..2","Name.2","Ratio..3","Name.3","Ratio..4","Ratio..5","Ratio..6","Ratio..7","Ratio..8"
491.069,3.8,1,6,13,64,34,606,-5.1,30,6,10,0,0,1,19,2,40,31.9,46.9,61.1,78.6
445.538,1.9,3,6,7,139,31,697,-4.4,6.57,6,59.11,0,0,1,32.84,0,0,6.04,11.7,17.3,24
267.369,1.9,2,4,9,50.7,19,215,-2.8,20,6,10,0,0,1,67,0,0,26.9,42.9,57.1,75.8
352.316,3.4,1,2,1,12.5,21,370,-4.5,20,3,60,0,0,1,9.5,2,9.5,31,47.6,60.5,72.1
295.807,3,3,3,6,41.5,20,257,-3.5,46.03,4,39.92,10,13.3,0,0,0,0,35.1,52.8,66.7,77.3
267.369,1.9,2,4,9,50.7,19,215,-2.8,20,5,40,0,0,1,37,0,0,27.9,42.5,54.2,63.6
267.369,1.9,2,4,9,50.7,19,215,-2.8,20,5,10,0,0,1,67,0,0,33.1,50.1,68.2,86.8
194.194,-0.1,0,3,0,58.4,14,293,-0.97,10,4,12.5,0,0,1,51.3,2,25.7,88.7,99.5,100,100
450.978,3.1,1,6,7,84.4,30,565,-4.4,36.5,2,31.75,9,31.75,0,0,0,0,13.3,24.1,33.6,43.6
390.864,3.4,2,6,7,90.7,27,368,-3.7,30,4,20,0,0,2,49.25,0,0,25.6,43.2,57,66.7
318.129,4.4,1,3,4,52.2,20,310,-4.8,20,3,78,0,0,2,0,0,0,27.5,44.8,60.3,73.3
318.129,4.4,1,3,4,52.2,20,310,-4.8,10,5,90,0,0,0,0,0,0,27.6,52.3,64.7,75.1
295.807,3,3,3,6,41.5,20,257,-3.5,10,5,90,0,0,0,0,0,0,42.6,61.3,77.1,84.2
318.129,4.4,1,3,4,52.2,20,310,-4.8,20,3,7.8,0,0,2,70.2,0,0,42.4,66.5,86.3,94.9
491.069,3.8,1,6,13,64,34,606,-5.1,30,3,40,0,0,1,19,2,10,18.5,45.1,51.3,57.1
