"Molecular.Weight_g.mol_","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","LogS","Ratio.","Name","Ratio..1","Name.1","Ratio..2","Name.2","Ratio..3","Name.3","Ratio..4","Ratio..5","Ratio..6","Ratio..7","Ratio..8"
267.369,1.9,2,4,9,50.7,19,215,-2.8,20,6,40,0,0,1,37,0,0,26,38.6,48.8,57.1
267.369,1.9,2,4,9,50.7,19,215,-2.8,20,3,40,0,0,1,37,0,0,34.9,53.4,70.3,83.9
267.369,1.9,2,4,9,50.7,19,215,-2.8,20,5,40,0,0,1,37,0,0,27.9,42.5,54.2,63.6
390.864,3.4,2,6,7,90.7,27,368,-3.7,30,4,20,0,0,2,49.25,0,0,25.6,43.2,57,66.7
390.864,3.4,2,6,7,90.7,27,368,-3.7,5,5,95,0,0,0,0,0,0,39.3,56.3,69.8,79.4
822.953,4,6,15,5,217,59,1750,-4.3,82.64,3,16.53,0,0,0,0,0,0,22.3,53.8,81.9,97.1
491.069,3.8,1,6,13,64,34,606,-5.1,30,6,10,0,0,1,19,2,40,31.9,46.9,61.1,78.6
137.142,-0.7,2,3,1,68,10,120,0.01,61.73,5,37.04,0,0,0,0,0,0,42.7,64.7,74.8,81.9
295.807,3,3,3,6,41.5,20,257,-3.5,46.03,4,13.3,10,39.92,0,0,0,0,47.1,68.8,82.2,89.8
206.285,3.5,1,2,4,37.3,15,203,-3.99,20,4,24,9,24,2,32,0,0,25.2,37.7,48.6,57.3
445.538,1.9,3,6,7,139,31,697,-4.4,6.57,5,22.99,3,36.12,1,32.84,0,0,9.49,18.5,29.3,40.7
295.807,3,3,3,6,41.5,20,257,-3.5,46.03,4,53.22,10,0,0,0,0,0,23.4,35.5,45.1,53.3
491.069,3.8,1,6,13,64,34,606,-5.1,30,6,40,0,0,1,19,2,10,10.7,13.5,16.2,22.5
180.167,0,1,3,0,69.3,13,267,-0.9,50,6,30,0,0,1,18,0,0,17,25,32.4,38.7
445.538,1.9,3,6,7,139,31,697,-4.4,6.57,6,59.11,0,0,1,32.84,0,0,6.04,11.7,17.3,24
390.864,3.4,2,6,7,90.7,27,368,-3.7,70,5,30,0,0,0,0,0,0,35.2,51,63.7,72.7
318.129,4.4,1,3,4,52.2,20,310,-4.8,20,3,78,0,0,2,0,0,0,27.5,44.8,60.3,73.3
491.069,3.8,1,6,13,64,34,606,-5.1,30,3,35,0,0,1,19,2,15,12.3,35.7,57.8,72.4
180.167,0,1,3,0,69.3,13,267,-0.9,5,5,95,0,0,0,0,0,0,21.7,37.1,49.8,59.6
180.167,0,1,3,0,69.3,13,267,-0.9,30,4,20,0,0,1,49.25,0,0,31.3,51.4,66.8,82.3
