"Molecular.Weight..g.mol..","XLogP3","Hydrogen.Bond.Donor.Count","Hydrogen.Bond.Acceptor.Count","Rotatable.Bond.Count","Topological.Polar.Surface.Area.A.2.","Heavy.Atom.Count","Complexity","LogS","Ratio.","Name","Ratio..1","Name.1","Ratio..2","Name.2","Ratio..3","Name.3","Ratio..4","Ratio..5","Ratio..6","Ratio..7","Ratio..8"
267.369,1.9,2,4,9,50.7,19,215,-2.8,20,4,40,0,0,1,37,0,0,29.2,45.8,57.3,67
267.369,1.9,2,4,9,50.7,19,215,-2.8,20,5,10,0,0,1,67,0,0,33.1,50.1,68.2,86.8
390.864,3.4,2,6,7,90.7,27,368,-3.7,50,5,50,0,0,0,0,0,0,28.2,41.6,51.8,60.6
390.864,3.4,2,6,7,90.7,27,368,-3.7,30,4,20,0,0,2,49.25,0,0,25.6,43.2,57,66.7
267.369,1.9,2,4,9,50.7,19,215,-2.8,20,6,40,0,0,1,37,0,0,26,38.6,48.8,57.1
822.953,4,6,15,5,217,59,1750,-4.3,70.92,3,28.37,0,0,0,0,0,0,18.4,36.1,58.1,72.9
137.142,-0.7,2,3,1,68,10,120,0.01,61.73,4,37.04,0,0,0,0,0,0,45,68,80,83.7
236.274,2.5,1,1,0,46.3,18,326,-3.2,30,6,35,0,0,1,15,2,19,1.22,3.33,9.89,10.7
206.285,3.5,1,2,4,37.3,15,203,-3.99,20,4,24,9,24,2,32,0,0,25.2,37.7,48.6,57.3
236.274,2.5,1,1,0,46.3,18,326,-3.2,30,6,20,0,0,1,30,2,19,3,15.3,24.6,25.8
822.953,4,6,15,5,217,59,1750,-4.3,82.64,3,16.53,0,0,0,0,0,0,22.3,53.8,81.9,97.1
137.142,-0.7,2,3,1,68,10,120,0.01,61.73,5,37.04,0,0,0,0,0,0,42.7,64.7,74.8,81.9
267.369,1.9,2,4,9,50.7,19,215,-2.8,20,5,40,0,0,1,37,0,0,27.9,42.5,54.2,63.6
822.953,4,6,15,5,217,59,1750,-4.3,90.09,3,9.01,0,0,0,0,0,0,47.1,76.6,85.5,89.6
822.953,4,6,15,5,217,59,1750,-4.3,62.11,3,37.27,0,0,0,0,0,0,12.2,45,51.6,57.9
137.142,-0.7,2,3,1,68,10,120,0.01,54.95,3,43.96,0,0,0,0,0,0,43.2,69.8,80.4,87.5
137.142,-0.7,2,3,1,68,10,120,0.01,75.76,3,22.73,0,0,0,0,0,0,66.6,99.2,100,100
137.142,-0.7,2,3,1,68,10,120,0.01,61.73,6,37.04,0,0,0,0,0,0,42,62.6,72.2,79.5
206.285,3.5,1,2,4,37.3,15,203,-3.99,20,4,32,7,16,2,32,0,0,27.9,37.2,44.2,50
267.369,1.9,2,4,9,50.7,19,215,-2.8,20,6,10,0,0,1,67,0,0,26.9,42.9,57.1,75.8
