"MW_API","melting.point_API","XLogP3_API","Hydrogen.Bond.Donor.Count_API","Hydrogen.Bond.Acceptor.Count_API","Rotatable.Bond.Count_API","Topological.Polar.Surface.Area_API","Heavy.Atom.Count_API","Complexity_API","logS_API","logP_API","Pka","N.of.repeat.units_polymer","Monomer.Weight_polymer","Hydrogen.Bond.Donor.Count_polymer","Hydrogen.Bond.Acceptor.Count_polymer","Rotatable.Bond.Count_polymer","Complexity_polymer","Topological.Polar.Surface.Area_polymer","technich","Drug.loading.ratio","Dose.mg.","dissolution.method","surfactant","pH.1.2_simulated.gastric.fluid","pH.4.5_buffer.solution","pH.6.8_PBS","pH.6.5_FaSSIF","pH.6.8_SIF","water","pH.7.4_PBS","rotation.speed.rpm.","volume.ml","X5min","X10min","X15min","X20min","X30min","X45min","X60min"
0.0401883081400201,0.323333333333333,0.584158415841584,0.0526315789473684,0.08,0.136363636363636,0.0762631077216397,0.0454545454545455,0.0448558205767177,0.388,0.3039934800326,0.495322731524789,0.0299021787461094,0.109870329906509,0,0,0.037037037037037,0.309782608695652,0,1,0.387755102040816,0.375378251043781,0,0,1,0,0,0,0,0,0,0.5,0.222222222222222,0.1457,0.2065,0.2572,0.3314,0.4163,0.3725,0.3447
0.140601993943526,0.316666666666667,0.683168316831683,0.0526315789473684,0.12,0.181818181818182,0.118207816968541,0.136363636363636,0.126379494482022,0.18,0.382233088834556,0.476613657623948,0.00833703868385949,0.0896899738510585,0,0.125,0,0.0834239130434783,0.031434184675835,0.5,0.316326530612245,0.205308920979048,0,0,1,0,0,0,0,0,0,0.5,0.444444444444444,0.4096,0.3806,0.361,0.359,0.3546,0.3461,0.3324
0.159170612717965,0.34,0.594059405940594,0.0526315789473684,0.24,0.136363636363636,0.152335557673975,0.147727272727273,0.151655393378426,0.24,0.361043194784026,0.818521983161833,0.0805913739439751,0.246516459504961,0.166666666666667,0.375,0.111111111111111,0.391304347826087,0.283562540929928,1,0.23469387755102,0.183858735205117,0,0,0,0,0,0,1,0,0,0.5,0.444444444444444,0.0903,0.1626,0.253,0.2951,0.3373,0.3734,0.3915
0.0488730329452634,0.58,0.762376237623762,0.105263157894737,0.08,0.136363636363636,0.0816015252621544,0.0568181818181818,0.0501957992168031,0.464,0.409127954360228,0.481290926099158,0.00833703868385949,0.0896899738510585,0,0.125,0,0.0834239130434783,0.031434184675835,0,0.0816326530612245,0.375378251043781,0,0,0,0,1,0,0,0,0,0,0.888888888888889,0.5041,0.6185,0.6978,0.73,0.8204,0.839,0.8521
0.122972711224633,0.04,0.772277227722772,0.0526315789473684,0.08,0.363636363636364,0.0684461391801716,0.136363636363636,0.0797436810252759,0.3482,0.329747351263244,0.467726847521048,0.0016674077367719,0,0.333333333333333,0.125,0.037037037037037,0,0.132285527177472,0,0.13265306122449,0.375378251043781,0,0,0,0,0,0,0,0,0,0,0.888888888888889,0.1703,0.2684,0.3479,0.3566,0.3794,0.4043,0.4248
1,0.446666666666667,0,1,1,0.590909090909091,1,1,1,0.46,0.126324368378158,0.439195509822264,0.0106714095153402,0,0.333333333333333,0.125,0.037037037037037,0,0.132285527177472,0,0.183673469387755,0.949936798559773,1,0,0,0,1,0,0,0,0,0.5,0.888888888888889,0.0445,0.3465,0.619,0.84,0.9623,1,1
0.188461677766002,0.266666666666667,0.722772277227723,0.0526315789473684,0.16,0.318181818181818,0.126406101048618,0.193181818181818,0.197579209683161,0.32,0.403422982885086,0.996725912067353,0.0579146287238773,0.109870329906509,0,0,0.037037037037037,0.309782608695652,0,1,0.183673469387755,0.068947025701919,1,1,0,0,0,0,0,1,0,0.5,0.888888888888889,0.5935,0.9139,0.9798,1,0.9987,0.9963,1
0.0920289501325149,0.76,0.693069306930693,0.105263157894737,0.08,0.181818181818182,0.0816015252621544,0.0681818181818182,0.0544677821288715,0.26,0.441727791361043,0.48643592142189,0,1,0.666666666666667,0.875,1,0.834239130434783,0.692206941715783,0,0.0816326530612245,0.0306431225341862,0,0,0,0,0,0,0,1,0,0,0.444444444444444,0.5277,0.5332,0.5388,0.5454,0.5396,0.5416,0.5424
0.805814120118484,0.806666666666667,1,0.263157894736842,0.44,0.681818181818182,0.51954242135367,0.818181818181818,0.775720897116412,0.9,1,0.85266604303087,0.0299021787461094,0.109870329906509,0,0,0.037037037037037,0.309782608695652,0,0.5,0.13265306122449,0.095759757919332,0,0,0,0,0,0,0,1,0,0,0.888888888888889,0.4195,0.5603,0.6345,0.6608,0.7066,0.7216,0.7399
0.0496446585399269,0.283333333333333,0.475247524752475,0,0.08,0,0.0703527168732126,0.0568181818181818,0.104663581345675,0.5,0.265688671556642,0.0701590271281572,0.019341929746554,0.501954454275173,1,1,0.148148148148148,0.383152173913043,1,1,0.183673469387755,0.375378251043781,0,0,0,0,0,1,0,0,0,0.25,0.222222222222222,0.041,0.0747,0.0932,0.1136,0.1548,0.2143,0.2783
